precision,recall,f1,hashcode
[0.7775798439979553],[0.7838632464408875],[0.780708909034729],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7391895651817322],[0.7734584212303162],[0.7559358477592468],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7869593501091003],[0.8075065016746521],[0.7971005439758301],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8341100811958313],[0.7712808847427368],[0.8014659881591797],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8112784624099731],[0.7994576692581177],[0.8053247332572937],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7884023785591125],[0.7799265384674072],[0.7841416001319885],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8199121952056885],[0.8227328658103943],[0.8213200569152832],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.741857647895813],[0.7835807800292969],[0.7621486186981201],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.790638267993927],[0.8002509474754333],[0.7954155802726746],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7765419483184814],[0.8070247769355774],[0.7914900183677673],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7998647093772888],[0.8011165261268616],[0.800490140914917],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7830615043640137],[0.7758965492248535],[0.7794625163078308],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8339563608169556],[0.7956746220588684],[0.814365804195404],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8310914635658264],[0.8170723915100098],[0.8240223526954651],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7862281799316406],[0.8030238151550293],[0.7945372462272644],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7969196438789368],[0.8001117706298828],[0.7985125780105591],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8033121824264526],[0.7663323283195496],[0.7843866944313049],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7961480617523193],[0.7804155945777893],[0.7882034182548523],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7667649984359741],[0.7549706697463989],[0.7608221173286438],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8124585151672363],[0.7641261219978333],[0.7875514626502991],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8203169107437134],[0.7984904050827026],[0.8092564940452576],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7817468643188477],[0.7876954078674316],[0.7847098112106323],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7794736623764038],[0.766594648361206],[0.7729805111885071],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7741063833236694],[0.7847824692726135],[0.7794078588485718],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.776001513004303],[0.7620185613632202],[0.7689464092254639],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7961703538894653],[0.7756370306015015],[0.7857695817947388],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7907596230506897],[0.7802423238754272],[0.7854657173156738],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.786306619644165],[0.7853230237960815],[0.7858145236968994],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7300064563751221],[0.7662189602851868],[0.7476744651794434],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8273971676826477],[0.8047019839286804],[0.8158918023109436],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7475489377975464],[0.7554073929786682],[0.7514575719833374],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7449449300765991],[0.776772677898407],[0.7605260014533997],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7536230683326721],[0.8014113903045654],[0.7767829895019531],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8003648519515991],[0.7826794385910034],[0.7914233803749084],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7732648849487305],[0.7945934534072876],[0.7837840914726257],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8168435096740723],[0.7711358070373535],[0.7933318614959717],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7671715617179871],[0.7697854042053223],[0.7684761881828308],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8068907260894775],[0.809701144695282],[0.8082934617996216],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7645626068115234],[0.7710502743721008],[0.7677927613258362],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.772624671459198],[0.8076625466346741],[0.7897551655769348],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7771572470664978],[0.7768403887748718],[0.7769988179206848],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7546431422233582],[0.7771071195602417],[0.7657104134559631],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8456125855445862],[0.7651458978652954],[0.8033693432807922],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7943844199180603],[0.7867587804794312],[0.7905532121658325],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7942166924476624],[0.785020112991333],[0.7895916700363159],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8035890460014343],[0.7755551934242249],[0.7893232703208923],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7570781111717224],[0.769432008266449],[0.7632050514221191],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8447012305259705],[0.8044004440307617],[0.8240583539009094],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7272208333015442],[0.7634432315826416],[0.7448919415473938],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8392625451087952],[0.8339313268661499],[0.836588442325592],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8182688355445862],[0.7752718925476074],[0.7961903214454651],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8110888004302979],[0.7957713603973389],[0.8033570647239685],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.778071939945221],[0.7734758257865906],[0.7757670283317566],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.818474292755127],[0.79273521900177],[0.8053991794586182],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7741459608078003],[0.7828513979911804],[0.7784743905067444],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7482625246047974],[0.7727795243263245],[0.7603234052658081],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8210707902908325],[0.7806592583656311],[0.8003551959991455],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7931628227233887],[0.7785848379135132],[0.7858061790466309],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8059538006782532],[0.7904150485992432],[0.7981088161468506],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8266010880470276],[0.8026612401008606],[0.8144552707672119],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8044199347496033],[0.7736232876777649],[0.7887210845947266],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8111376762390137],[0.7953220009803772],[0.8031519651412964],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7758705019950867],[0.7924801707267761],[0.7840873599052429],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8142129182815552],[0.7868687510490417],[0.8003073930740356],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7809944152832031],[0.8019017577171326],[0.7913099527359009],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8245040774345398],[0.8108596801757812],[0.8176249265670776],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7726992964744568],[0.7832407355308533],[0.7779343128204346],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.773861289024353],[0.7784003615379333],[0.7761241793632507],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7817234396934509],[0.785073459148407],[0.7833948731422424],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8153965473175049],[0.7861751914024353],[0.8005192875862122],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7418762445449829],[0.7547990083694458],[0.7482818365097046],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8228037357330322],[0.7945696115493774],[0.8084402680397034],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7884132862091064],[0.8055039644241333],[0.7968670129776001],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8066786527633667],[0.7755632400512695],[0.790814995765686],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
